issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,endPage,startPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords,language
Ethics in Robotics,Article,AR,"Duffy, Brian R",Fundamental Issues in Social Robotics,2006,2006/12/01,6,,36,31,"Man and machine are rife with fundamental differences. Formal research in artificial intelligence and robotics has for half a century aimed to cross this divide, whether from the perspective of understanding man by building models, or building machines which could be as intelligent and versatile as humans. Inevitably, our sources of inspiration come from what exists around us, but to what extent should a machine?s conception be sourced from such biological references as ourselves? Machines designed to be capable of explicit social interaction with people necessitates employing the human frame of reference to a certain extent. However, there is also a fear that once this man-machine boundary is crossed that machines will cause the extinction of mankind. The following paper briefly discusses a number of fundamental distinctions between humans and machines in the field of social robotics, and situating these issues with a view to understanding how to address them.",PDF,ojshelp@ualberta.ca,006_Duffy.pdf,,English
Ethics in Robotics,Article,AR,"Becker, Barbara",Social robots ? emotional agents: Some remarks on naturalizing man-machine interaction,2006,2006/12/01,6,,45,37,"The construction of embodied conversational agents ? robots as well as avatars ? seem to be a new challenge in the field of both cognitive AI and human-computer-interface development. On the one hand, one aims at gaining new insights in the development of cognition and communication by constructing intelligent, physical instantiated artefacts. On the other hand people are driven by the idea, that humanlike mechanical dialog-partners will have a positive effect on human-machine-communication. In this contribution I put for discussion whether the visions of scientist in this field are plausible and which problems might arise by the realization of such projects.",PDF,ojshelp@ualberta.ca,006_Becker.pdf,,English
Ethics in Robotics,Article,AR,"Marino, Dante; Tamburrini, Guglielmo",Learning robots and human responsibility,2006,2006/12/01,6,,51,46,"Epistemic limitations concerning prediction and explanation of the behaviour of robots that learn from experience are selectively examined by reference to machine learning methods and computational theories of supervised inductive learning. Moral responsibility and liability ascription problems concerning damages caused by learning robot actions are discussed in the light of these epistemic limitations. In shaping responsibility ascription policies one has to take into account the fact that robots and softbots ? by combining learning with autonomy, pro-activity, reasoning, and planning ? can enter cognitive interactions that human beings have not experienced with any other non-human system.",PDF,ojshelp@ualberta.ca,006_Marino_Tamburrini.pdf,,English
Ethics in Robotics,Article,AR,"Crutzen, C K M",Invisibility and the Meaning of Ambient Intelligence,2006,2006/12/01,6,,62,52,"A vision of future daily life is explored in Ambient Intelligence (AmI). It contains the assumption that intelligent technology should disappear into our environment to bring humans an easy and entertaining life. The mental, physical, methodical invisibility of AmI will have an effect on the relation between design and use activities of both users and designers. Especially the ethics discussions of AmI, privacy, identity and security are moved into the foreground. However in the process of using AmI, it will go beyond these themes. The infiltration of AmI will cause the construction of new meanings of privacy, identity and security because the ""visible"" acting of people will be preceded, accompanied and followed by the invisible and visible acting of the AmI technology and their producers. A question in this paper is: How is it possible to create critical transformative rooms in which doubting will be possible under the circumstances that autonomous 'intelligent agents' surround humans? Are humans in danger to become just objects of artificial intelligent conversations? Probably the relation between mental, physical, methodical invisibility and visibility of AmI could give answers.",PDF,ojshelp@ualberta.ca,006_Crutzen.pdf,,English
Ethics in Robotics,Article,AR,"Krebs, Stefan",On the Anticipation of Ethical Conflicts between Humans and Robots in Japanese Mangas,2006,2006/12/01,6,,68,63,The following contribution examines the influence of mangas and animes on the social perception and cultural understanding of robots in Japan. Part of it is the narrow interaction between pop culture and Japanese robotics: Some examples shall serve to illustrate spill-over effects between popular robot stories and the recent development of robot technologies in Japan. The example of the famous Astro boy comics will be used to help investigate the ethical conflicts between humans and robots thematised in Japanese mangas. With a view to ethical problems the stories shall be subsumed under different categorical aspects.,PDF,ojshelp@ualberta.ca,006_Krebs.pdf,,English
Ethics in Robotics,Article,AR,"KrÑhling, Maren",In Between Companion and Cyborg: The Double Diffracted Being Elsewhere of a Robodog,2006,2006/12/01,6,,77,69,"Aibo, Sony?s robodog, questions the relations between nature, technology, and society and directs the attention to the difficult and changing triad between machines, humans and animals. Located at the boundaries between entertainment robot, dog, and companion Aibo evokes the question which relationship humans and Aibo can have and which ethical issues are being addressed. Promoted by Sony as a ?best friend?, it is useful to analyze Aibo within the theoretical framework of feminist philosopher and biologist Donna Haraway, who develops alternative approaches of companionships between humans and dogs. Therefore, I am going to ask how Aibo challenges the understanding of other life forms by humans and how concepts of friendship are at stake. Ethical questions about human perceptions of dogs in the age of doglike robots must be approached. However, Aibo itself follows no predefined category. Aibo does neither live in a merely mechanistic ?elsewhere? nor in the ?elsewhere? of animals but in an intermediate space, in a doubled diffracted ?elsewhere?.",PDF,ojshelp@ualberta.ca,006_Kraehling.pdf,,German
Ethics in Robotics,Article,AR,"Kitano, Naho","Known as the ?Robot Kingdom?, Japan has launched, with granting outstanding governmental budgets, a new strategic plan in order to create new markets for the RT (Robot-Technology) Industry. Now that the social structure is greatly modernized and a high social functionality has been achieved, robots in the society are taking a popular role for Japanese people. The motivation for such great high-tech developments has to be researched in how human relations work, as well as in the customs and psychology of the Japanese. With examining the background of the Japanese affirmativeness toward Robots, this paper reveals the Animism and the Japanese ethics, ?Rinri?, that benefit the Japanese Robotics. First the introduction describes the Japanese social context which serves in order to illustrate the term ?Rinri?. The meaning of Japanese Animism is explained in order to understand why Rinri is to be considered as an incitement for Japanese social robotics.",,,6,,83,78,"Known as the ?Robot Kingdom?, Japan has launched, with granting outstanding governmental budgets, a new strategic plan in order to create new markets for the RT (Robot-Technology) Industry. Now that the social structure is greatly modernized and a high social functionality has been achieved, robots in the society are taking a popular role for Japanese people. The motivation for such great high-tech developments has to be researched in how human relations work, as well as in the customs and psychology of the Japanese. With examining the background of the Japanese affirmativeness toward Robots, this paper reveals the Animism and the Japanese ethics, ?Rinri?, that benefit the Japanese Robotics. First the introduction describes the Japanese social context which serves in order to illustrate the term ?Rinri?. The meaning of Japanese Animism is explained in order to understand why Rinri is to be considered as an incitement for Japanese social robotics.",PDF,ojshelp@ualberta.ca,006_Kitano.pdf,,English
Ethics in Robotics,Article,AR,"Alvarez, Miguel Angel PÇrez",Robotics and Development of Intellectual Abilities in Children,2006,2006/12/01,6,,90,84,"It is necessary to transform the educative experiences into the classrooms so that they favor the development of intellectual abilities of children and teenagers. We must take advantage of the new opportunities that offer information technologies to organize learning environments which they favor those experiences. We considered that to arm and to program robots, of the type of LEGO Mind Storms or the so called ?crickets?, developed by M. Resnik from MIT, like means so that they children them and young people live experiences that favor the development of their intellectual abilities, is a powerful alternative to the traditional educative systems. They are these three tasks those that require a reflective work from pedagogy and epistemology urgently. Robotics could become in the proper instrument for the development of intelligence because it works like a mirror for the intellectual processes of each individual, its abilities like epistemologist and, therefore, is useful to favor those processes in the classroom.",PDF,ojshelp@ualberta.ca,006_miguel.pdf,,Spanish
Ethics in Robotics,Article,AR,"Sîffker, Dirk;Weber, Jutta ",On Designing Machines and Technologies in the 21st Century. An Interdisciplinary Dialogue.,2006,2006/12/01,6,,108,91,"Is an autonomous robot, designed to communicate and take decisions in a human way, still a machine? On which concepts, ideas and values is the design of such machines to be based? How do they relate back to our everyday life? And finally, in how far are social demands the guideline for the development of such innovative technologies. Using the form of a dialogue theoretical, ethical and socio-political questions concerning the design of interactive machines are discussed especially with regards to the accelerated mechanization of our professional and private life. Developed out of an Email dialogue and further elaborated the discourse spanning from engineering to research in the field of science and technology deals with the question, if the men-machine relationship changes.",PDF,ojshelp@ualberta.ca,006_Soeffker_Weber.pdf,,German
African Information Ethics Conference,Article,AR,"Capurro, Rafael",Information Ethics for and from Africa,2007,2007/09/01,7,,17,6,"This paper deals in the first part with some initiatives concerning the role of information ethics for Africa such as NEPAD, UN ICT and AISI particularly since the World Summit on the Information Society. Information Ethics from Africa is a young academic field. Not much has been published so far on the impact of ICT on African societies and cultures from a philosophical perspective. The second part of the paper analyses some recent research on this matter particularly with regard to the concept of ubuntu. Finally the paper addresses some issues of the African Conference on Information Ethics held in Pretoria, 3-5 February 2007",PDF,ojshelp@ualberta.ca,007_capurro.pdf,,English
African Information Ethics Conference,Article,AR,"Radoykov, Boyan",Addressing the Ethical Dimensions of the Information Society in the process of Building Inclusive Knowledge Societies,2007,2007/02/05,7,,,,,PDF,ojshelp@ualberta.ca,007_radoykov.pdf,,English
African Information Ethics Conference,Article,AR,"Mesbahi, Mohammed",The Third World and the paradox of the digital revolution,2007,2007/09/01,7,,50,47,"We, the people of the Third World, greeted the revolution in information technology with great enthusiasm, perceiving it as the harbinger of an equalitarian and democratic society and the encapsulation of a new humanism. The question is whether or not this new utopia has effectively brought an end to the great divide regarding access to information and knowledge.",PDF,ojshelp@ualberta.ca,007_mesbahi.pdf,,English
African Information Ethics Conference,Article,AR,"Himma, Kenneth Einar","The Information Gap, the Digital Divide, and the Obligations of Affluent",2007,2007/09/01,7,,76,63,"In this essay, I would like to do three things. First, I would like to provide a broad and brief overview of the effects of absolute poverty in creating an information gap and a digital divide and the effects of these gaps in perpetuating absolute poverty. Second, I would like to show that ordinary case intuitions, normative ethical theories, and theological considerations converge in entailing a moral obligation to help those in poverty. Third, I would like to argue, all too briefly, that although this surely involves making donations of both cash and food - free of the sorts of conditions that are frequently imposed by organizations like the IMF and World Bank - it also involves donations of a sort that are specifically targeted to close the information and digital divides.",PDF,ojshelp@ualberta.ca,007_himma.pdf,,English
African Information Ethics Conference,Article,AR,"Hongladarom, Soraj","Information Divide, Information Flow and Global Justice",2007,2007/09/01,7,,81,77,There is a significant information divide between the countries in the North and those in the South. This is,PDF,ojshelp@ualberta.ca,007_hongladarom.pdf,,English
African Information Ethics Conference,Article,AR,"Wimmer, Franz Martin",Cultural Centrisms and Intercultural Polylogues in Philosophy,2007,2007/09/01,7,,89,82,"A ""dilemma of culturality"" for philosophy, tending to universality, is given with the fact that there is not one",PDF,ojshelp@ualberta.ca,007_wimmer.pdf,,English
African Information Ethics Conference,Article,AR,"Boekhorst, Albert K",Towards an Information Democracy: A Research Agenda,2007,2007/09/01,7,,93,90,"People, organisations and societies need knowledge to satisfy their needs so they can survive and develop",PDF,ojshelp@ualberta.ca,007_boekhorst.pdf,,English
African Information Ethics Conference,Article,AR,"Ess, Charles",Cybernetic Pluralism in an Emerging Global Information and Computing,2007,2007/09/01,7,,123,94,"I trace the development of an emerging global Information and Computing Ethics (ICE), arguing that ethical",PDF,ojshelp@ualberta.ca,007_ess.pdf,,English
African Information Ethics Conference,Article,AR,"Bennani, Azelarabe, Lahkim","The Public Sphere?s Metamorphosis ? The Triangular Relation Between the NGO, the State, and Globalization",2007,2007/09/01,7,,128,124,"The issue we will discuss is related to the use of the Internet by the non-governmental organizations (NGOs) to improve the social development in the African and international context. We will also discuss the philo-sophical background of the notion of Úpublic sphere? by the German philosopher JÅrgen Habermas. Departing from the situation in Morocco, we observe that the lasting democratization process aims to improve the participation of the public sphere in the agency of social life. Taking for granted that society is not homo-geneous as expected, we observe that it is divided into the political establishment, including the state, par-liament, and the political institutions; in the social, religious and cultural institutions and the civil society. The state aims to enhance the participation of the other social spheres in the programme set by the government. The task is to engage the public sphere in the so called Úpartnership? in the realization of its social pro-grammes.",PDF,ojshelp@ualberta.ca,007_bennani.pdf,,English
African Information Ethics Conference,Article,AR,"Moahi, Kgomotso H","Globalization, Knowledge Economy and the implication for Indigenous Knowledge",2007,2007/09/01,7,,62,55,"This paper considers the impact that globalization and the knowledge economy have on the protection and promotion of indigenous knowledge. It is asserted that globalization and the knowledge economy have opened up the world and facilitated the flow of information and knowledge. However, the flow of knowledge has been governed by uneven economic and political power between the developed countries and the devel-oping countries. This has a number of ramifications for IK. The dilemma faced is that whichever method is taken to protect IK (IPR regimes, documenting IK etc) exposes IK to some misappropriation. Protecting it through IPR is also fraught with problems. Documenting IK exposes IK to the public domain and makes it that much easier to be misused. However, not protecting IK runs the danger of having it disappear as the custodians holding it die off, or as communities become swamped by the effects of globalization. The conclu-sion therefore is that governments have to take more interest in protecting, promoting and using IK than they have been doing.",PDF,ojshelp@ualberta.ca,007_moahi.pdf,,English
African Information Ethics Conference,Article,AR,"Nagenborg, Michael",Artificial moral agents: an intercultural perspective,2007,2007/09/01,7,,134,129,"In this paper I will argue that artificial moral agents (AMAs) are a fitting subject of intercultural information ethics because of the impact they may have on the relationship between information rich and information poor countries. I will give a limiting definition of AMAs first, and discuss two different types of AMAs with different implications from an intercultural perspective. While AMAs following preset rules might raise con-cerns about digital imperialism, AMAs being able to adjust to their user?s behavior will lead us to the question what makes an AMA ?moral?? I will argue that this question does present a good starting point for an inter-cultural dialogue which might be helpful to overcome the notion of Africa as a mere victim.",PDF,ojshelp@ualberta.ca,007_nagenborg.pdf,,English
African Information Ethics Conference,Article,AR,"Frohmann, Bernd",Assembling an African Information Ethics,2007,2007/09/01,7,,145,135,"The Tshwane Conference on African Information Ethics of 5-7 February 2007 forces the question, What is an African information ethics? This question is addressed with reference to the complexities of a distinctly African information ethics, taking into account the distinction between ethics and morality, and the assumptions of the language of the Tshwane Declaration on Information Ethics in Africa. Gilles Deleuze?s concept of assem-blage, analyzed from the perspectives of Bruno Latour?s concept of ?reassembling the social? and recent anthropological approaches to global assemblages are put to work to investigate possibilities of an African information ethics, with special attention to the concepts of universality and African identity. The task of assembling an African information ethics is then analyzed in terms of Latour?s call for building ?livable collec-tives?.",PDF,ojshelp@ualberta.ca,007_frohmann.pdf,,English
African Information Ethics Conference,Article,AR,"Fleissner, Peter",On the ambivalence of information and communication technologies,2007,2007/09/01,7,,154,146,"The diffusion of digital information and communication technologies (DICT) is strongly supported by many countries of the world. Today, as well as in the past, new technologies are charged with high expectations, but at a closer look one can see that these expectations then are very different from now. Today they depend on the various interests of different groups of people. Globally acting enterprises see DICT as essential stra-tegic instruments in gaining competitive power; some governments hope to reach military hegemony, others to control terrorism and crime, while grass root movements expect to become more influential on some aspects of society. The paper identifies and analyses basic tendencies which promote the various hopes: the effects of DICT on reducing production and transaction costs, and the possibility to transform information goods into marketable services or commodities. The final part of the paper is devoted to a few examples of how the potential of DICT can be used for social improvements.",PDF,ojshelp@ualberta.ca,007_fleissner.pdf,,Engllish
African Information Ethics Conference,Article,AR,"Ngulube, Patrick",The Nature and Accessibility of E-Government in Sub Saharan Africa,2007,2007/09/01,7,,167,155,"Electronic government (e-government) is a phenomenon that is linked to the information society and the advantages associated with it. E-government allows government departments to network and integrate their services using information and communication technologies (ICTs) in order to improve service delivery and enhance the relationship between the government and the public. The major ingredients of e-government are infrastructure, human resources and information. The reality in Sub Saharan Africa (SSA) is that all these ingredients are insufficient. The ICT infrastructure is not widely available to rural populations. In most cases, both government officials and the people who may want to use government services online lack basic skills. Government information is not properly organized as records management systems in many countries are collapsing.",PDF,ojshelp@ualberta.ca,007_ngulube.pdf,,English
African Information Ethics Conference,Article,AR,"Carbo, Toni",Information Rights: Trust and Human Dignity in e-Government,2007,2007/09/01,7,,174,168,"The words ?Rights,? ?Trust,? ?Human Dignity,? and even ?Government? have widely varying meanings and connotations, differing across time, languages and cultures. Concepts of rights, trust, and human dignity have been examined for centuries in great depth by ethicists and other philosophers and by religious think-ers, and more recently by social scientists and, especially as related to information, by information scientists. Similarly, discussions of government are well documented in writings back to Plato and Aristotle, with investi-gations of electronic government (often referred to as e-government) dating back only to the early 1990s with the advent of the Internet and the World Wide Web. At first e-government was described in glowing, positive terms. Little, if any, attention was paid to two critical questions: 1) Will people trust e-government? and 2) How will cultural differences affect individuals? trust in government and their perceptions of govern-ment?s effect of their human dignity? Examinations of trust and distrust by individuals within organizations have addressed questions of motives and intentions, expectations of behavior, protection of interests, confi-dence in accuracy and reliability of information, vulnerability, and reciprocity, among other complex topics. Establishing e-government services often requires going through several phases: 1) publish (using ICT to improve access to government information), 2) interact (broadening participation in government through 2-way communications, and 3) transact (making actual services available online; and 4) transform (fundamen-tally changing government to make it truly citizen-centric). Building and maintaining trust in e-government require developing an understanding both of the many levels of interactions where trust must be earned and of cultural differences. Another challenge in developing such a framework is that e-government, itself, is very dynamic, changing rapidly over time. Trust in content or a system available one day may not carry over when the content and/or system changes dramatically. Components of a framework must include the follow-ing dimensions: conceptual domains, cultural dimensions, information content dimensions, and system di-mensions. Of course, these dimensions must be considered within the context of rapidly changing govern-ments, ICT services, the digital divide, and other factors. This paper provides a very brief overview of some of the notions of trust and distrust, concentrating on those concerning trust as it relates to notions of power, trust in organizations, and trust in information and information systems as one part of a framework to ad-dress the question of trust in e-government. It also makes a few recommendations for how to build citizen-centric e-government to ensure information rights through a focus on human dignity, fundamental human rights, and earning trust.",PDF,ojshelp@ualberta.ca,007_carbo.pdf,,English
African Information Ethics Conference,Article,AR,"du Plessis, Jacques C",The Spirit of Open Access to Information as a Key Pillar to the African Re-naissance,2007,2007/09/01,7,,181,175,This article explores the future impact of an African renaissance with a specific emphasis on information ethics to address the needs of the emerging virtual realm. The four main focus areas include the technologi-cal challenges to deploy ICT infrastructure to enable the delivery of information to the people and to allow for new means of communication. The second focus considers the economic obstacles that need to be consi-dered in the quest to empower average citizens to exercise their right to access information. The third focus addresses the linguistic and cultural realities that hinder the adoption of some ICTs. The final focus considers the legal framework that has to be developed and strengthened to establish citizen?s rights of access and privacy in cyberspace.,PDF,ojshelp@ualberta.ca,007_duplessis.pdf,,English
African Information Ethics Conference,Article,AR,"Gathegi, John N","Intellectual Property, Traditional Resources Rights, and Natural Law: A Clash of Cultures",2007,2007/09/01,7,,188,182,"Western nations, through international treaties and bodies such as the World Trade Organization, the World Intellectual Property Organization, and economic and political pressures on many governments, are to a large degree succeeding in strengthening protection of intellectual property rights as they are understood mainly within the western context. Framing the debate within Locke?s theory of natural law, the paper discusses the extent to which this strengthening of intellectual property rights is appropriate for developing countries, especially within the African context.",PDF,ojshelp@ualberta.ca,007_gathegi.pdf,,English
African Information Ethics Conference,Article,AR,"Lor, Peter Johan",International advocacy for information ethics: the role of IFLA,2007,2007/09/01,7,,201,189,"This paper focuses on IFLA's international advocacy role. It explores the relationship between library advo-cacy and information ethics, before outlining the ethical thrusts of IFLA's advocacy and describing IFLA's international advocacy work, with special emphasis on Africa.",PDF,ojshelp@ualberta.ca,007_lor.pdf,,English
African Information Ethics Conference,Article,AR,"Lîwstedt, Anthony",Rights versus Diversity? The Accelerated Extinction of Languages and Cultures as an Aspect of Current Globalization Trends,2007,2007/09/01,7,,208,202,"This paper starts from the assumption that linguistic diversity, and more generally, cultural diversity, are intrinsically good. I will look at their opposites, linguistic and cultural poverty, and the current tendencies towards the latter within the globalization process. I will also briefly explore the relationship between human rights and cultural diversity, which may be viewed as somewhat problematic, but the emphasis will be on what I consider the essential aspect of that relationship, namely, the mutually reinforcing relationship be-tween rights and diversity, and between their opposites, human rights violations and cultural uniformity (cultural poverty). In this context, the issue of legislative protection and promotion of cultural diversity will be investigated from a global perspective. Finally, I wish to assess the roles of Africa and of Africanicity with regard to these issues.",PDF,ojshelp@ualberta.ca,007_lowstedt.pdf,,English
African Information Ethics Conference,Article ,AR,"Mabe, Jacob Emmanuel",Security Thought in Africa in the Context of Global Ethics,2007,2007/09/01,7,,215,209,"There are few themes today that bear as much political significance as that of security. As a philosophical concept security is an ancient human ideal to which individuals as well as communities have constantly as-pired. This paper focuses not only on thought about security issues in Africa in the context of global ethics but also on the rule of the new drums and bells, namely the modern informational media, for the diffusion of knowledge in Africa. Internet, mobile phone etc. are to be seen and accepted by Africans as an essential part of modern world culture.",PDF,ojshelp@ualberta.ca,007_mabe.pdf,,English
African Information Ethics Conference,Article,AR,"Ponelis, Shana R",Implications of social justice for the pricing of information goods,2007,2007/09/01,7,,220,216,During the past few years information has increasingly become a commodity. As a commodity the atypical cost structure of information goods in competitive markets result in the price of reproduction of information goods tending to zero implying that market failure is highly likely. Intellectual property rights prevent such market failure by protecting the ability of creators and/or distributors to charge for information goods and as such serve to stimulate and support the creation of information. But information also plays a vital role in enabling people?s human rights in their everyday lives and it is therefore of paramount importance that such information be accessible. Pricing of information is one of the main factors determining accessibility and pricing strategies should aim to maximise access not just profit and thereby contribute to a socially just world. This paper examines the nature and pricing of information goods and suggests differential pricing of information goods based Rawls? principles of social justice.,PDF,ojshelp@ualberta.ca,007_ponelis.pdf,,English
African Information Ethics Conference,Article,AR,"Sturges, Paul",What is this absence called transparency?,2007,2007/09/01,7,,228,221,"Campaigners against corruption advocate transparency as a fundamental condition for its prevention. Trans-parency in itself is not the most important thing: it is the accountability that it makes possible. Transparency itself is, in fact, a metaphor based on the ability of light to pass through a solid, but transparent, medium and reveal what is on the other side. In practice it allows the revelation of what otherwise might have been concealed, and it is applied in a social context to the revelation of human activity in which there is a valid public interest. It can be applied to all of those who hold power and responsibility, whether that is political or economic. More accurate definition of the term, including distinctions between open governance, procedural transparency, radical transparency, and systemic or total transparency is important. Various ways in which an observer can make use of transparency to scrutinise the activity of others, including freedom of information laws, accounting and audit systems, and the protection of public interest disclosure (whistleblowing) also need to be distinguished from each other.",PDF,ojshelp@ualberta.ca,007_sturges.pdf,,English
African Information Ethics Conference,Article,AR,"Ocholla, Dennis",Marginalized Knowledge: An Agenda for Indigenous Knowledge Develop-ment and Integration with Other Forms of Knowledge,2007,2007/09/01,7,,245,236,"The purpose of this paper is to re-examine Indigenous Knowledge (IK) in order to suggest an agenda for its development and integration with other forms of knowledge. The paper discusses what marginalization of IK mean, examines the challenges of integrating IK in the mainstream of other forms of knowledges and sug-gests agenda for IK development. The suggested agenda focuses on mapping and auditing IK capacity in Africa, legal and ethical issues, IK management, IK education and training, integration of IK and KM, IK brain drain. The paper recommends that information on IK be widely shared for evaluation, use and further devel-opment.",PDF,ojshelp@ualberta.ca,007_ocholla.pdf,,English
African Information Ethics Conference,Article,AR,"Gopal, T V",Ethics in Deploying Data to make Wise Decisions,2007,2007/09/01,7,,252,246,"Way back in the 1980s corporations began collecting, combining, and crunching data from sources through-out the enterprise. This approach was widely accepted as a methodology that provides objectivity and trans-parency in decision-making. Good processing of the garnered data paved way for improved analysis of trends and patterns leading to better business and increased profit margins. Corporations began investing in collect-ing, storing, processing and maintaining enterprise wide data. The focus was always on the quality of data and the process of converting it into knowledge that enables right decisions. It was soon realized that a wide range of personal biases has an impact on the way decisions are made. The entire process is replete with ethical dilemmas. This paper provides a framework to understand the interplay of data, information, personal biases, ethics and decision-making. This approach is suitable for every individ-ual, team, organization or a nation. Several years of turmoil in South Africa make it imminent for it to take a fresh look at the way data is transformed into knowledge. The leadership within South Africa has to arrive at wise decisions that can withstand the scrutiny of generations to come.",PDF,ojshelp@ualberta.ca,007_gopal.pdf,,English
African Information Ethics Conference,Article,AR,"Abdeljelil, Jameleddine Ben",The Discourse of Identity in the Maghreb between Difference and Univer-sality,2007,2007/09/01,7,,266,263,"The discourse of identity in the Arab context in general and in the Maghrebi context in particular is a modern phenomenon and is of central importance. In the Maghreb this discourse is related to modernization efforts, with the de-colonization struggle and its ideology, and with the nation-state-building genesis, process, and legitimisation after independence. A fundamental part in the developmental process of this discourse, there-fore, is the difference from, as well as the non-negotiable and hegemonic presence of, the ?Other?. The evolution of a Maghrebi discourse of identity in this instance is a peculiar formation of consciousness or awareness with regard to a self-evident constancy, namely, the own identity, which had not been in doubt up to that point. From the challenging encounter with the western European hegemonic ?Other? comes the necessity to bring forth such a discourse. The Difference is thus a fundamental aspect in the beginnings of the Maghrebi discourse of identity.",PDF,ojshelp@ualberta.ca,007_abdeljelil.pdf,,English
African Information Ethics Conference,Article,AR,"Caftori, Netiva",African Women and the Internet,2007,2007/09/01,7,,272,267,"As the future of the Internet in Africa seems promising from an infrastructure point of view, the issue of the women of Africa should not be forgotten, in particular women who are already in academia who continue to struggle for equality despite their relative achievements. Women all over the world face similar hurdles and conflicts related to their gender, such as tenure vs. biolog-ical clock and shrinking pipeline. However the glass ceiling in the West is made of iron in Africa. One cannot yet aspire to reach the top. Luckily thanks to the Internet, women communicate with each other and African women as well are being heard. The Internet is serving them as a sound board and support in their struggles.",PDF,ojshelp@ualberta.ca,007_caftori.pdf,,English
African Information Ethics Conference,Article,AR,"Albright, Kendra S",AIDS and Culture: The Case for an African Information Identity,2007,2007/09/01,7,,282,273,"The library and information profession in Africa is not well recognized. It does not carry an identifiable set of core activities that share a common understanding across societies in Africa. The number of libraries in Africa is limited for a variety of reasons including lack of resources, populations that are not based in print literacy, and having its roots in the British model of librarianship. HIV/AIDS continues to pose severe problems for Sub-Saharan Africa. Some countries in the region have successfully reduced the number of HIV/AIDS cases, citing information as the main source of prevention, presenting library and information professionals a unique opportunity to collectively organize and establish their role in the fight against the disease. This paper will discuss the opportunity for how LIS professionals engaged in HIV/AIDS information activities can develop and strengthen a positive status for the library and information discipline in Sub-Saharan Africa.",PDF,ojshelp@ualberta.ca,007_albrigh.pdf,,English
African Information Ethics Conference,Article,AR,"Lîtter, H P P",Are ICTs Prerequisites for the Eradication of Poverty?,2007,2007/09/01,7,,294,283,"I provide a philosophical analysis of the claim that ICTs are necessary preconditions for the eradication of poverty. What are the links between information and communication technologies (ICTs) and poverty? I first define technology and then give a brief depiction of ICTs. Thereafter I define poverty and give a brief expla-nation of its context and causes. Next I discuss the relationship between poverty and ICTs in three paradigm cases: [i] the role of ICTs in poor societies, [ii] the effect of poor ICT knowledge and skill of individuals in highly developed technological societies, and [iii] the impact of impoverished ICT knowledge and skills on the rich, powerful, and intelligent ones in society. I propose a procedure for decision making about the appropria-tion of ICTs by individuals and societies. I assess the claim that both access to ICTs and effective use of them are preconditions for the eradication of poverty.",PDF,ojshelp@ualberta.ca,007_lotter.pdf,,English
African Information Ethics Conference,Article,AR,"Kigongo-Bukenya, Isaac Milton Namwanja",Towards Professionalism and Commitment in Africa: the case for theory and practice of Information Ethics in Uganda,2007,2007/09/01,7,,301,295,"Though one could not exhaustively and conclusively define all the attributes of an information/knowledge society, it seems Uganda has made commandable strides to such society. One of the prerequisites of such society is a corps of well-educated, trained and experienced information professionals to manage information and knowledge effectively in that society. Furthermore, the corps must perform professionally and ethically at all times. To fulfill this, an Information Code of Ethics (ICE) is required. However, Uganda has as yet to establish an ICE because of some reasons. These reasons are outlined in the paper. The ICE has two as-pects: theory and practice. These concepts are explained and related. The LA (USA) and the Chartered Institute of Library and Information Professions (CILIP) formerly the LA (UK) are studied as living examples. The provisions of these ICEs are briefly explained. In view of the past experience a process of establishing an IME for Uganda is considered. The paper concludes with an outline of the content of an IME for Uganda.",PDF,ojshelp@ualberta.ca,007_kigongo_bukenya.pdf,,English
African Information Ethics Conference,Article,AR,"Onyancha, Omwoyo Bosire",E-governance in Eastern and Southern Africa: a Webometric study of the Governments? websites,2007,2007/09/01,7,,315,302,"This paper explores the adoption of one of the Information and Communication Technology (ICT) tools, i.e. the Internet and more particularly, the World Wide Web, by Eastern and Southern African governments as a means of facilitating interactions between the state and its citizens. It was observed that most governments in the region have constructed their own Web sites, some of which are up to date. English is the most com-monly used language to prepare the web sites. Other findings include: foreign missions recorded the highest number of web pages followed by political parties; the .com or .co Top Level Domain (TLD) generated most web pages followed by .ac or .edu in each country; most governments provide contact information as op-posed to sitemaps and feedback forms which recorded relatively few postings; governments with few web-pages and large quantities of in-links (including self-links) recorded high Web Impact Factors (WIFs); and only the South African government provided links to other Eastern and Southern African governments. Ethical issues regarding the analyzed variables as well as conclusions and recommendations are provided.",PDF,ojshelp@ualberta.ca,007_onyancha.pdf,,English
